label,City,Zip Code,Latitude,Longitude
Daggett — 92327,Daggett,92327,34.875144,-116.821698
Daly City — 94014,Daly City,94014,37.691561,-122.445202
Daly City — 94015,Daly City,94015,37.680844,-122.48131
Dana Point — 92629,Dana Point,92629,33.477923,-117.705314
Danville — 94506,Danville,94506,37.791481,-121.903253
Danville — 94526,Danville,94526,37.815459,-121.977203
Darwin — 93522,Darwin,93522,36.319181,-117.593053
Davenport — 95017,Davenport,95017,37.114335,-122.237162
Davis — 95616,Davis,95616,38.508735,-121.678813
Davis — 95618,Davis,95618,38.544002,-121.685559
Davis Creek — 96108,Davis Creek,96108,41.750354,-120.403885
Death Valley — 92328,Death Valley,92328,36.27688,-117.033326
Deer Park — 94576,Deer Park,94576,38.554383,-122.474773
Del Mar — 92014,Del Mar,92014,32.948262,-117.256086
Del Rey — 93616,Del Rey,93616,36.657462,-119.595293
Delano — 93215,Delano,93215,35.772244,-119.209689
Delhi — 95315,Delhi,95315,37.422961,-120.765493
Denair — 95316,Denair,95316,37.524721,-120.757977
Descanso — 91916,Descanso,91916,32.912664,-116.635387
Desert Center — 92239,Desert Center,92239,33.889605,-115.257009
Desert Hot Springs — 92240,Desert Hot Springs,92240,33.948558,-116.516976
Desert Hot Springs — 92241,Desert Hot Springs,92241,33.832799,-116.250973
Diamond Bar — 91765,Diamond Bar,91765,33.992416,-117.807874
Diamond Springs — 95619,Diamond Springs,95619,38.683605,-120.811852
Dillon Beach — 94929,Dillon Beach,94929,38.24458,-122.956268
Dinuba — 93618,Dinuba,93618,36.523619,-119.386868
Dixon — 95620,Dixon,95620,38.392821,-121.799917
Dobbins — 95935,Dobbins,95935,39.381174,-121.21191
Dorris — 96023,Dorris,96023,41.949216,-122.050062
Dos Palos — 93620,Dos Palos,93620,37.045728,-120.630682
Dos Rios — 95429,Dos Rios,95429,39.756049,-123.358701
Douglas City — 96024,Douglas City,96024,40.586588,-122.903677
Downey — 90240,Downey,90240,33.956228,-118.120993
Downey — 90241,Downey,90241,33.940884,-118.128628
Downey — 90242,Downey,90242,33.921793,-118.140588
Downieville — 95936,Downieville,95936,39.578792,-120.780786
Doyle — 96109,Doyle,96109,40.012675,-120.101857
Duarte — 91010,Duarte,91010,34.145695,-117.95982
Dublin — 94568,Dublin,94568,37.713926,-121.928425
Ducor — 93218,Ducor,93218,35.846067,-119.004073
Dulzura — 91917,Dulzura,91917,32.622999,-116.687855
